fragment	start	end	Apopt_START	Apopt_END	RNA_START	RNA_END	STOP1_START	STOP1_END	STOP2_START	STOP2_END	STOP3_START	STOP3_END	STOP4_START	STOP4_END	STOP5_START	STOP5_END	STOP6_START	STOP6_END	STOP7_START	STOP7_END	STOP8_START	STOP8_END	STOP9_START	STOP9_END	STOP10_START	STOP10_END
wCinUSA2	1	412	8	65	179	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCon	1	503	0	0	220	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wDacB	1	411	8	71	179	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wDiac1	1	415	8	70	177	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wDipl90	1	410	9	70	179	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wIrr	1	428	8	67	187	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wMeg	1	506	0	0	225	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wStri84	1	412	8	65	179	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wStri86	1	430	8	70	181	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wStriCN	1	493	17	75	191	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wTri2	1	418	8	70	180	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiroplasma_ixodetis_DCF	1	466	13	77	189	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiroplasma_ixodetis_DCM	1	466	13	77	189	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAcajP2	1	799	0	0	239	478	96	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RErNten1	1	612	74	141	255	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RErNten2	1	595	77	143	256	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuKarp	1	861	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuAFSC7	1	861	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuFPW1038	1	869	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wPip_Pel1	1	503	25	93	202	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wPip_Pel2	1	445	14	78	191	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wMel	1	474	13	77	186	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wSpc1	1	474	13	77	186	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wSpc2	1	359	0	0	92	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wRi1	1	474	13	77	186	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wRi2	1	456	13	77	189	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wRi3	1	474	13	77	186	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wOrie2	1	490	39	96	208	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wOrie3	1	446	14	78	191	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAna	1	102	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wVit1	1	498	13	81	190	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wVit2	1	490	43	96	208	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAlbB1	1	490	40	100	208	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAlbB2	1	445	14	78	191	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsiella_Opha	1	797	0	0	236	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAdent2	1	490	35	91	208	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAdent3	1	593	6	74	208	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAdent4	1	449	14	78	191	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RllRCFS32	1	667	0	0	34	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REAspAen	1	832	0	0	238	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REMetSeq	1	808	0	0	262	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roklaho	1	830	0	0	296	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REDioLin	1	493	16	74	190	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REDioRuf02	1	493	16	69	190	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECeuObs1	1	427	8	71	186	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECeuObs2	1	839	0	0	238	473	253	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERhiCon	1	428	8	71	186	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPolTer1	1	616	77	143	257	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPolTer2	1	616	77	143	257	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE1	1	813	0	0	270	503	403	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE2	1	809	0	0	266	499	410	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE3	1	809	0	0	266	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE4	1	813	0	0	270	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE5	1	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OmasOs18	1	618	79	143	258	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriASFSC4	1	869	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriGil	1	859	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ1	1	867	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ5	1	861	0	0	314	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ6	1	867	0	0	320	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ7	1	866	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ8	1	863	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriKato	1	867	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTA686	1	867	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTA716	1	762	0	0	214	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTA763	1	863	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTW1	1	866	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTW22	1	860	0	0	312	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriUT76	1	867	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriUT176	1	867	0	0	319	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriWuj	1	857	0	0	319	563	780	783	794	797	802	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetGL2_1	1	411	6	75	176	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetL5_1	1	411	6	75	176	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetGL2_2	1	421	8	70	273	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetL5_2	1	421	8	70	273	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
