fragment	start	end	OTU_START	OTU_END	AAA_START	AAA_END	IPDDE_START	IPDDE_END	IIPDDE_START	IIPDDE_END	ITPR_START	ITPR_END	IITPR_START	IITPR_END	DUB_START	DUB_END	ILRR_START	ILRR_END	IILRR_START	IILRR_END	TOXIN_START	TOXIN_END	IDUF_START	IDUF_END	IIDUF_START	IIDUF_END	ICA2_START	ICA2_END	IICA2_START	IICA2_END	RTX_START	RTX_END	SAL_START	SAL_END	IANK_START	IANK_END	IIANK_START	IIANK_END	IIIANK_START	IIIANK_END	LATRO_START	LATRO_END	MACO_START	MACO_END	STOP1_START	STOP1_END	STOP2_START	STOP2_END	STOP3_START	STOP3_END	STOP4_START	STOP4_END	STOP5_START	STOP5_END	STOP6_START	STOP6_END	STOP7_START	STOP7_END	STOP8_START	STOP8_END	STOP9_START	STOP9_END	STOP10_START	STOP10_END	STOP11_START	STOP11_END	STOP12_START	STOP12_END
RarbT170B	1	2427	0	0	13	120	227	340	595	693	0	0	0	0	0	0					875	1075	1299	1565	1581	1781					1860	1919	0	0	0	0	0	0	0	0	0	0	0	0	162	165	448	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPsaPante1	1	760	0	0	22	149	249	351	606	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REIarboMS4_a	1	667	68	249	269	387	524	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REIarboMS4_b	1	2394	0	0	0	0	0	0	157	266	0	0	0	0	400	492	0	0	0	0	668	862	1084	1326	1348	1553	0	0	0	0	1637	1688	2114	2219	2220	2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REOegW744	1	3406	69	257	277	395	533	638	907	1016	0	0	0	0	1148	1238	0	0	0	0	1582	1901	2336	2571	0	0	2572	2623	0	0	0	0	3145	3230	3125	3144	3231	3367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnzgw532	1	3186	69	253	273	391	528	633	901	1013	0	0	0	0	1144	1236	0	0	0	0	1408	1602	1828	2086	2108	2311	1786	1826	2087	2107	2386	2437	2906	3010	3011	3186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooCS	1	3068	68	248	280	392	520	625	894	1002	0	0	0	0	1124	1214	1363	1385	1581	1645	1386	1580	1900	2071	2108	2205	1774	1887	2060	2095	2398	2449	0	0	0	0	0	0	0	0	0	0	0	0	1887	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RheiTIGMIC	1	3068	68	248	280	392	520	625	894	1002	0	0	0	0	1124	1214	1363	1385	1581	1645	1386	1580	1816	2085	2107	2312	1774	1815	2086	2106	2397	2448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RfelLSULb	1	3241	8	188	208	326	464	569	838	950	0	0	0	0	1084	1163	0	0	0	0	1349	1546	1774	2013	2051	2243	0	0	0	0	2329	2380	2815	2920	3042	3221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REOxoOopax6	1	2543	0	0	33	120	255	357	638	779	0	0	0	0	0	0					934	1128	1350	1592	1627	1753					1899	1950	0	0	2089	2283	0	0	0	0	0	0	0	0	129	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REDiaDallo3	1	2635	0	0	31	142	245	347	618	750	0	0	0	0	1463	1566	841	868	954	1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736	2454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECuiRiCimp	1	2574	0	0	28	169	249	351	622	754	0	0	0	0	1470	1567	878	1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1756	2267	0	0	0	0	2397	2533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuIke	1	834	0	0	13	117	230	341	574	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otsubor	1	829	0	0	13	115	228	337	570	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woegib1	1	2585	0	0	16	88	257	336	583	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1874	2312	0	0	0	0	2399	2537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woegib2	1	1008	0	0	16	95	262	341	585	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woegib3	1	2126	0	0	23	92	250	365	582	693	0	0	0	0	0	0	0	0	0	0	831	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1958	2084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAcro	1	790	0	0	15	125	220	318	618	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wBor	1	1001	0	0	19	85	184	278	513	592	593	629	645	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCauA1	1	4512	0	0	32	159	345	447	705	821	0	0	0	0	945	1025	1166	1188	1384	1448	1189	1383	1577	1922	0	0	1534	1576	1923	1969	2130	2184	0	0	3205	4263	0	0	0	0	4322	4459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCauA2	1	3644	0	0	34	161	268	381	661	780	0	0	0	0	0	0	0	0	0	0	0	0	1619	1817	0	0	1581	1618	1818	1913	0	0	0	0	2319	2487	0	0	0	0	3453	3590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCer	1	3404	0	0	34	151	275	377	625	737	0	0	0	0	0	0	866	888	1084	1148	889	1083	1272	1527	1551	1724	1229	1271	1528	1550	1820	1876	0	0	2300	3115	0	0	0	0	3220	3355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCfeJ	1	4275	0	0	58	175	261	363	618	733	0	0	0	0	0	0	874	896	1092	1156	897	1091	1286	1542	1566	1743	1244	1285	1543	1565	1841	1892	0	0	2029	2199	3392	4088	4222	4275	4089	4221	0	0	777	780	2589	2592	3220	3223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCinUSA1	1	3615	0	0	34	161	253	366	646	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1578	1911	0	0	0	0	0	0	2143	3305	0	0	0	0	3429	3563	0	0	220	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCinUSA2	1	3920	0	0	35	162	346	448	655	776	0	0	0	0	0	0	0	0	0	0	2766	2932	499	653	777	849	3122	3482	0	0	0	0	0	0	921	1019	1848	2613	0	0	3842	3889	0	0	547	550	880	883	1830	1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCon	1	2484	0	0	42	135	274	381	613	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	1304	1738	1831	0	0	0	0	2072	2226	0	0	0	0	2316	2444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wDacB	1	3707	0	0	35	157	338	441	700	816	0	0	0	0	923	1002	1154	1177	1372	1436	1178	1371	1604	1844	1884	2079	1560	1603	1845	1883	2159	2210	0	0	2642	3482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wDiac1	1	2833	66	242	282	398	501	603	875	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2057	2613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wDipl90	1	971	0	0	28	157	342	444	701	816	0	0	0	0	934	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wIrr	1	1056	0	0	41	130	256	369	624	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wMeg	1	2280	0	0	46	131	271	371	613	718	0	0	0	0	0	0	0	0	0	0	870	1053	0	0	0	0	0	0	0	0	0	0	0	0	1779	2028	0	0	0	0	2093	2227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wStri84	1	1909	0	0	30	162	350	452	712	826	0	0	0	0	945	1034	1176	1198	1393	1457	1199	1392	1585	1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wStri86	1	3941	0	0	31	159	266	383	663	781	0	0	0	0	0	0	0	0	0	0	1002	1244	1401	1849	0	0	1850	1900	0	0	0	0	0	0	2130	3141	0	0	0	0	3752	3890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wStriCN	1	1455	0	0	21	130	240	342	584	691	0	0	0	0	0	0	0	0	0	0	843	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wTri2	1	2833	52	223	264	390	490	592	862	977	0	0	0	0	0	0	1316	1361	0	0	1132	1315	0	0	0	0	0	0	0	0	0	0	0	0	2060	2550	0	0	0	0	2643	2780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiroplasma_ixodetis_DCF	1	697	0	0	10	153	229	328	571	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiroplasma_ixodetis_DCM	1	697	0	0	10	153	229	328	571	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAcajp2	1	2835	0	0	16	89	251	354	599	687	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	2735	2835	0	0	234	237	901	904	1013	1017	1020	1023	1214	1217	1691	1693	0	0	0	0	0	0	0	0	0	0	0	0
RErNten1	1	2197	68	252	273	399	529	633	897	1010	0	0	0	0	1135	1226	-	-	-	-	0	0	0	0	0	0	-	-	-	-	0	0	0	0	1619	1821	0	0	0	0	2049	2111	0	0	270	273	1114	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RErNten2	1	2196	68	252	272	398	528	632	896	1009	0	0	0	0	1134	1225	-	-	-	-	0	0	0	0	0	0	-	-	-	-	0	0	0	0	1618	1820	0	0	0	0	2048	2110	0	0	1113	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuKarp	1	832	0	0	13	117	230	339	572	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuAFSC7	1	832	0	0	13	117	229	340	572	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuFPW1038	1	833	0	0	13	117	223	340	573	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wPip_Pel1	1	1174	0	0	7	151	280	375	608	731	0	0	0	0	949	1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wPip_Pel2	1	732	0	0	15	145	222	324	579	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wMel	1	1173	0	0	10	153	293	389	622	742	0	0	0	0	957	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wSpc1	1	1117	0	0	10	153	293	389	622	742	0	0	0	0	950	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wSpc2	1	754	0	0	4	138	232	334	616	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wRi1	1	1168	0	0	1	142	281	384	610	737	0	0	0	0	945	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wRi2	1	754	0	0	4	138	232	334	616	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wRi3	1	1172	0	0	3	153	285	388	614	741	0	0	0	0	949	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wOrie2	1	698	0	0	10	143	219	316	577	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wOrie3	1	748	0	0	15	145	223	325	595	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAna	1	753	0	0	4	138	231	333	615	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wVit1	1	1522	0	0	3	154	276	379	605	728	0	0	0	0	950	1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wVit2	1	696	0	0	10	142	218	315	575	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAlbB1	1	674	0	0	10	142	218	314	575	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAlbB2	1	732	0	0	15	145	221	324	579	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsiella_Opha	1	1753	0	0	33	114	306	405	639	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1698	1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAdent2	1	696	0	0	10	142	218	315	575	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAdent3	1	790	0	0	14	161	220	318	618	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAdent4	1	825	0	0	15	137	238	340	669	773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RllRCFS32	1	2928	0	0	19	120	266	364	625	730	0	0	0	0	0	0	0	0	0	0	1039	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REAspAen	1	2876	0	0	30	158	255	358	620	726	0	0	0	0	0	0					1553	1749	2004	2457	0	0					2541	2608	0	0	0	0	0	0	0	0	2806	2859	0	0	2443	2446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REMetSeq	1	2561	0	0	9	139	235	347	610	707	0	0	0	0	0	0					883	1079	1307	1545	1573	1765					1899	1959	2312	2394	2290	2542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roklaho	1	2606	0	0	23	120	215	329	585	682	0	0	0	0	0	0					867	1067	1291	1546	1568	1765					1994	2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REDioLin	1	714	0	0	15	154	224	325	577	685	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REDioRuf02	1	714	0	0	15	154	224	325	577	685	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECeuObs1	1	2483	0	0	33	172	256	358	639	787	0	0	0	0	0	0					935	1129	1411	1823	0	0					1905	1961	0	0	2095	2289	0	0	0	0	2321	2442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECeuObs2	1	2876	0	0	36	153	254	357	619	725	0	0	0	0	0	0					1552	1748	2003	2457	0	0					2541	2608	0	0	0	0	0	0	0	0	2806	2859	0	0	64	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERhiCon	1	2551	0	0	33	147	256	358	638	786	0	0	0	0	0	0					934	1137	1357	1599	1634	1760					1911	1962	0	0	2100	2269	0	0	0	0	2374	2510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPolTer1	1	2934	69	249	267	387	524	629	898	1011	0	0	0	0	1141	1233					1391	1557	0	0	0	0					0	0	0	0	2738	2835	0	0	0	0	2547	2691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPolTer2	1	2934	69	249	267	387	524	629	898	1011	0	0	0	0	1141	1233					1391	1557	0	0	0	0					0	0	0	0	2738	2835	0	0	0	0	2547	2691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE1	1	479	0	0	17	121	230	343	0	0	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	24	27	58	61	74	77	82	85	98	101	116	119	156	159	190	193	284	287	339	342	402	405
RhooRCCE2	1	406	0	0	13	120	229	344	0	0	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	125	161	164	210	213	228	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE3	1	406	0	0	13	120	229	344	0	0	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE4	1	1670	0	0	17	125	235	348	605	703	0	0	0	0	0	0					891	1091	1315	1580	1596	1670					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooRCCE5	1	403	0	0	13	120	226	341	0	0	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	61	64	88	91	183	186	209	212	284	287	322	325	0	0	0	0	0	0	0	0	0	0
OmasOs18	1	2942	82	262	282	400	537	642	912	1024	0	0	0	0	1146	1236	TO_DO	TO_DO	TO_DO	TO_DO	1393	1539	1775	2129	0	0	TO_DO	TO_DO	TO_DO	TO_DO	2245	2314	2621	2728	2194	2330	2621	2919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
