Species	contig	Gene	Prokka_name
RhooCS	RhooCS_29	membrane fusion	RhooCS_00743 Hemolysin secretion protein D_ chromosomal
RhooCS	RhooCS_29	ABC transporter	RhooCS_00744 Leukotoxin export ATP-binding protein LtxB
RhooCS	RhooCS_29	cifB	RhooCS_00745 hypothetical protein
RhooCS	RhooCS_29	cifB	RhooCS_00746 hypothetical protein
RhooCS	RhooCS_29	cifA	RhooCS_00747 hypothetical protein
RhooCS	RhooCS_29	SpoT_hydrolase	RhooCS_00748 GTP pyrophosphokinase rsh
RhooCS	RhooCS_29	HisKinase	RhooCS_00749 Phosphotransferase RcsD
RhooCS	RhooCS_29	Dna_methyl	RhooCS_00750 Modification methylase DpnIIA
RhooCS	RhooCS_29	DnaI	RhooCS_00751 hypothetical protein
RhooCS	RhooCS_29	tRNA-Val	RhooCS_00752
RhooCS	RhooCS_29	CK	RhooCS_00753 Cytidylate kinase
RhooCS	RhooCS_29	Ribosomal protein S20	RhooCS_00754 30S ribosomal protein S1
RhooCS	RhooCS_29	Clp protease	RhooCS_00755 ATP-dependent Clp protease proteolytic subunit
MesenetGL2	MesenetGL2_9	Tail_Fiber	MesenetGL2_00321 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail_Fiber	MesenetGL2_00322 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail_Fiber	MesenetGL2_00323 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail_Fiber	MesenetGL2_00324 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail_Fiber	MesenetGL2_00325 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail_Fiber	MesenetGL2_00326 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00327 Putative prophage major tail sheath protein
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00328 hypothetical protein,
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00329 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00330 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00331 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00332 hypothetical protein
MesenetGL2	MesenetGL2_9	Tail	MesenetGL2_00333 hypothetical protein
MesenetGL2	MesenetGL2_9	ANK	MesenetGL2_00334 hypothetical protein
MesenetGL2	MesenetGL2_9	Patatin	MesenetGL2_00335 hypothetical protein
MesenetGL2	MesenetGL2_9	Patatin	MesenetGL2_00336 hypothetical protein
MesenetGL2	MesenetGL2_9	ANK	MesenetGL2_00337 hypothetical protein
MesenetGL2	MesenetGL2_9	MutL	MesenetGL2_00338 DNA mismatch repair protein MutL
MesenetGL2	MesenetGL2_9	Patatin	MesenetGL2_00339 Cardiolipin synthase B
MesenetGL2	MesenetGL2_9	Transposase	MesenetGL2_00340 hypothetical protein
MesenetGL2	MesenetGL2_9	cifB	MesenetGL2_00341 hypothetical protein
MesenetGL2	MesenetGL2_9	cifA	MesenetGL2_00342 hypothetical protein
